architecture,params,inference_time,ntk_lambda_0,ntk_condition_number,zen_nas_score,naswot_score
<radar_node.RadarNode object at 0x73db0b826ed0>,690187,0.004700088500976562,50267.76953125,33.22006607055664,35.683518727620445,0.865885424188328
32:64:16:32:16:8:32|c1x5:c1x3:d3r2:c1x1:id:z,195387,0.0033361196517944338,9219.353515625,6.5680317878723145,20.771214803059895,0.8403442578290711
16:16:64:32:32:32:16|d3r4:d3r2:d3r4:c1x5:c1x3:d3r4:d3r4:d3r4:id:id,547723,0.005684566497802734,41924.66796875,58.016197204589844,33.45125834147135,0.8310721255377825
