architecture,params,inference_time,ntk_lambda_0,ntk_condition_number,zen_nas_score,naswot_score,final_train_loss,final_val_loss
64:8:16:16:64:32:16|c1x1:id:d3r4,108857,0.0029901504516601563,12964.2041015625,10.34837532043457,31.132561365763348,0.9156314873994091,0.9252669082747565,0.9380563825368882
8:64:8:32:64:64:16|d3r2:d3r4:c1x1:c1x5:d3r4:d3r2,601817,0.010939621925354004,15319.6484375,59.593101501464844,37.35005187988281,0.9269270837864962,0.5247423648834229,0.5375436872243882
32:16:32:32:16:8:64|c1x5:d3r4:d3r2:d3r4:z:id,287161,0.006517958641052246,38628.34375,9.74864673614502,45.42560577392578,0.9278700225851907,0.40588887017450215,0.3910891622304916
32:32:32:64:8:16:8|c1x3:c1x5:d3r4:d3r4:id:c1x5,311521,0.009930849075317383,28884.900390625,12.639890670776367,inf,0.9565271710824526,0.3474565413263109,0.38895198702812195
16:8:8:16:8:16:8|c1x5:id:d3r2:c1x3:d3r4:d3r2,47105,0.008514118194580079,4057.010986328125,39.34757614135742,47.240918477376304,0.8992810935749486,0.3809436493449741,0.37769432067871095
64:16:16:16:16:16:8|c1x3:c1x5:d3r2:d3r4:c1x1:c1x1,173353,0.009475946426391602,35535.33984375,16.6888484954834,40.088844299316406,1.0052841162748256,0.43484749323056066,0.4660052418708801
16:32:32:64:32:64:16|d3r2:c1x1:id,109945,0.0031922578811645506,21232.583984375,15.070173263549805,21.569090525309246,0.8465161891154728,0.47778805244116135,0.48341565728187563
32:64:32:32:32:64:64|d3r2:d3r2:d3r2,522745,0.004752731323242188,32567.05859375,14.9619722366333,40.45419947306315,0.9140402103275898,0.5091119327662904,0.5613751173019409
32:64:64:64:16:16:64|d3r4:id:id,207593,0.0022571563720703127,34941.21484375,8.050389289855957,24.321002960205078,0.8332775797297919,0.9254217125751354,0.933491912484169
8:8:8:8:16:32:16|c1x3:c1x3:d3r4:c1x1:c1x1:id,43561,0.008351850509643554,8386.8515625,46.669586181640625,28.929415384928387,0.8828952973200507,0.4586407372980942,0.47471427619457246
32:16:32:8:64:32:64|c1x3:z:d3r2:d3r4:c1x3:z,340665,0.008374357223510742,15421.302734375,21.38051414489746,52.873059590657554,0.938578990841269,0.37048460598345156,0.42332765460014343
64:32:8:64:32:32:32|c1x5:c1x5:c1x1,246153,0.006197738647460938,4613.79296875,22.77961540222168,40.55303955078125,0.9803308112229743,0.3503143036807025,0.3820104718208313
64:64:16:8:32:64:64|d3r2:id:id:c1x5:id:c1x3,487913,0.007789397239685058,65292.16796875,18.91680908203125,46.253108978271484,0.9834797404776563,0.3287096487151252,0.3627032577991486
16:32:8:64:64:32:64|c1x1:id:c1x5:id:id:c1x1,200089,0.00599982738494873,27957.396484375,28.27179718017578,55.8791389465332,0.8675658269768874,0.9282044635878669,0.9331713706254959
64:32:16:32:64:16:8|c1x5:c1x3:c1x3:c1x1:c1x5:c1x5,460553,0.012782931327819824,14905.96484375,26.617530822753906,nan,1.0320412006391595,0.40229323469562295,0.44551215767860414
32:16:16:16:16:8:16|c1x1:c1x3:c1x3:d3r2:id:id,57801,0.007069230079650879,38743.41015625,12.984375,28.674699147542317,0.947996111515906,0.3329190957693406,0.30913006067276
