arch_str,train_loss,iteration,num_parameters
32:8:8:16:32:32:8|c1x3:c1x3:d3r4:c1x1:z:c1x5:c1x5:dw3x3:d3r4:c1x3,0.9998174905776978,37,208545
32:16:32:64:16:32:32|d3r2:c1x5:d3r2:c1x3:c1x1:id:d3r2:c1x1:c1x5:dw3x3,0.9996715188026428,38,501577
8:64:32:64:32:64:8|c1x3:d3r2:c1x1:id:d3r4:d3r2:c1x1:c1x1:d3r2:c1x1,0.9998345375061035,39,655737
8:32:32:16:8:8:32|id:d3r4:d3r2:c1x5:d3r2:c1x3:c1x1:d3r2:c1x3:z,0.999780535697937,40,221393
32:32:64:8:8:16:8|c1x1:c1x1:c1x5:dw3x3:c1x1:z:c1x5:dw3x3:c1x3:dw3x3,0.9997669458389282,41,211545
16:8:64:32:8:64:32|c1x5:id:id:d3r2:c1x5:id:dw3x3:d3r2:d3r2:dw3x3,0.9998753070831299,42,515577
32:64:64:32:64:64:16|c1x3:c1x5:d3r2:id:d3r4:c1x5:c1x5:id:c1x1:c1x5,0.9996544122695923,43,1274041
8:8:16:8:8:8:16|c1x5:d3r2:id:d3r4:id:d3r4:c1x1:dw3x3:d3r4:c1x5,0.9997391104698181,44,56585
32:32:64:64:32:16:32|z:c1x5:d3r4:dw3x3:c1x3:c1x3:c1x3:c1x1:c1x1:z,0.9996137022972107,45,322737
64:16:16:64:32:8:32|d3r2:c1x3:d3r2:c1x3:id:c1x5:id:d3r2:dw3x3:dw3x3,0.9997656345367432,46,527545
64:32:16:64:64:32:32|c1x3:dw3x3:d3r2:d3r2:c1x5:dw3x3:d3r2:d3r2:id:d3r2,0.99968022108078,47,979729
16:32:64:32:8:16:8|z:dw3x3:id:c1x3:c1x5:c1x3:c1x5:c1x1:z:z,0.9997225999832153,48,157729
16:16:16:32:16:8:64|c1x5:c1x1:dw3x3:z:d3r4:d3r2:c1x5:c1x5:id:d3r4,0.9995473623275757,49,361025
64:8:16:64:16:8:8|c1x5:c1x1:z:id:dw3x3:z:c1x1:z:c1x5:c1x1,0.9998168349266052,50,188705
8:8:32:8:32:64:8|dw3x3:c1x5:dw3x3:z:dw3x3:z:c1x3:z:c1x3:z,0.999858021736145,51,148529
16:16:64:16:16:64:16|c1x3:d3r2:z:c1x1:d3r2:d3r4:c1x3:z:c1x3:id,0.9997546672821045,52,401065
64:8:8:32:32:32:32|c1x5:id:id:d3r2:c1x5:c1x3:dw3x3:z:d3r4:c1x5,0.9997082352638245,53,451425
64:8:16:8:16:64:16|id:c1x1:c1x1:dw3x3:c1x1:c1x1:dw3x3:c1x5:dw3x3:c1x3,0.999849259853363,54,213705
64:32:16:64:16:32:16|c1x1:id:c1x3:z:c1x5:z:id:c1x1:dw3x3:dw3x3,0.9998262524604797,55,242761
8:8:64:64:8:8:16|d3r2:d3r4:dw3x3:id:dw3x3:c1x1:c1x5:id:c1x3:dw3x3,0.9995915293693542,56,305201
8:64:64:16:16:32:16|d3r2:d3r2:c1x3:c1x1:d3r4:d3r4:z:c1x5:c1x5:c1x5,0.9997656345367432,57,741657
64:8:64:16:16:64:64|d3r4:dw3x3:c1x1:d3r2:z:z:id:c1x3:c1x3:d3r4,0.9996957182884216,58,669089
8:16:16:16:64:32:32|c1x1:c1x5:c1x5:z:dw3x3:c1x1:dw3x3:dw3x3:d3r4:c1x3,0.9997467994689941,59,280369
64:8:16:16:16:64:16|dw3x3:c1x3:c1x1:d3r4:c1x3:c1x5:c1x3:c1x5:c1x3:c1x1,0.9997422099113464,60,468289
16:8:16:16:64:32:16|d3r2:c1x3:id:c1x1:c1x5:z:d3r2:d3r4:dw3x3:d3r2,0.9997351765632629,61,313505
16:8:8:16:64:8:64|c1x1:c1x5:c1x5:z:c1x5:c1x5:d3r4:dw3x3:c1x5:d3r4,0.9997349977493286,62,557681
16:8:32:16:16:8:8|z:c1x1:d3r2:d3r4:d3r4:dw3x3:z:c1x3:c1x5:c1x3,0.999663770198822,63,55425
64:8:32:64:32:32:16|c1x5:d3r2:dw3x3:dw3x3:c1x5:z:d3r2:id:z:c1x5,0.9995859861373901,64,520345
64:16:8:8:32:8:16|d3r2:d3r2:z:z:c1x1:z:dw3x3:id:z:id,0.9998290538787842,65,95441
16:64:64:8:8:16:16|d3r4:d3r2:id:c1x1:c1x3:d3r4:z:d3r2:z:c1x5,0.999803364276886,66,473057
16:16:32:8:64:64:32|dw3x3:c1x1:id:id:c1x5:c1x3:c1x3:c1x3:d3r2:id,0.9996159076690674,67,438649
64:16:8:32:8:64:64|c1x5:d3r4:dw3x3:c1x3:d3r4:dw3x3:c1x5:d3r2:c1x5:dw3x3,0.9996697902679443,68,850529
8:64:8:8:64:32:32|dw3x3:id:id:c1x1:id:d3r4:id:d3r4:c1x3:c1x1,0.9997450709342957,69,295065
