architecture,params,inference_time,ntk_lambda_0,ntk_condition_number,zen_nas_score,naswot_score,final_train_loss,final_val_loss
32:8:16:16:32:16:8|d3r4:z:d3r4:d3r4:z:c1x5,110329,0.006608939170837403,8716.1396484375,11.965744972229004,57.88940938313802,0.9225077823069603,0.5817591430228434,0.5536617338657379
32:8:8:32:64:16:16|c1x3:id:d3r4:d3r4:c1x1:d3r4,215513,0.008710193634033202,289.58502197265625,38.897789001464844,75.26915740966797,1.027929120076169,0.328114186540062,0.36787905991077424
64:16:8:32:32:32:8|d3r2:c1x3:id:c1x5:z:id,165817,0.007180118560791015,286.9977111816406,36.42079544067383,61.368028004964195,1.0222689258573778,0.3136191022248916,0.35544613003730774
64:64:8:8:32:8:8|c1x5:d3r4:c1x3,220921,0.007225894927978515,15983.8310546875,11.045573234558105,51.006690979003906,0.9784937712913547,0.351402700683217,0.3867589831352234
16:16:16:16:16:32:32|id:d3r4:id:id:d3r4:id,73513,0.0036818265914916994,506963.46875,466.7506103515625,34.33571243286133,0.8247532101097731,0.9244182198135941,0.9341382265090943
64:64:8:8:8:64:64|d3r2:c1x5:c1x1:c1x1:d3r2:id,483457,0.009869551658630371,1111.137451171875,79.53929138183594,72.28616587320964,1.0336843127320927,0.3420517753671717,0.36164137423038484
64:32:8:8:32:64:8|c1x3:d3r2:id:c1x1:d3r2:c1x1,263961,0.007173919677734375,57539.76171875,17.768421173095703,39.297952016194664,0.9959323699699282,0.32698496035587643,0.3468931883573532
64:32:32:16:64:64:32|id:id:c1x5:c1x1:d3r4:c1x1,359033,0.007561802864074707,5006.30908203125,121.14476013183594,93.44674173990886,1.048255725842271,0.33124238473397716,0.3701681554317474
64:16:64:16:32:16:8|z:c1x3:z,52633,0.0034019947052001953,3038.028076171875,11.65027141571045,31.291006724039715,0.911109844342378,0.3748164603739609,0.38515704572200776
32:8:8:8:8:8:32|id:id:d3r2:c1x1:d3r4:c1x1,51041,0.005494523048400879,19749.751953125,11.124300003051758,28.006635030110676,0.910066546583174,0.38560751264477955,0.3972590327262878
64:64:32:32:64:64:8|c1x5:c1x1:c1x5:d3r4:c1x3:c1x3,820985,0.012447237968444824,126.17385864257812,22.78148078918457,121.01007080078125,1.1073136305519733,0.4389587162453451,0.5364378660917282
16:16:64:64:8:16:8|c1x1:c1x3:d3r4:c1x1:d3r4:c1x5,320737,0.00948035717010498,11228.4462890625,13.018348693847656,47.9936154683431,0.9156466100036224,0.445750966484164,0.46032180488109586
32:16:64:8:16:32:16|id:d3r4:id:d3r4:id:c1x5,174889,0.006083345413208008,46202.234375,22.749727249145508,47.42241414388021,0.9093419977549488,0.9272976355788148,0.9366039067506791
8:64:16:16:32:8:8|c1x5:id:c1x1:d3r2:d3r4:c1x1,142809,0.008149671554565429,359.1043701171875,34.91273880004883,67.82540766398112,0.9846150254377365,0.43129213283091417,0.4977104812860489
8:16:64:64:32:16:32|c1x5:d3r4:z,208809,0.004127597808837891,3458.494384765625,11.049966812133789,16.329862594604492,0.8470819444197857,0.5718796422452103,0.5637202978134155
16:32:8:8:16:16:32|c1x1:id:d3r2:id:d3r4:c1x3,80937,0.0072617769241333004,211.32717895507812,23.240320205688477,96.64903767903645,0.9557544616277742,0.9259959275339856,0.9306284934282303
32:8:16:16:32:8:64|d3r2:c1x3:z,79129,0.004543948173522949,1470.399658203125,21.162187576293945,26.524820963541668,0.8997858348818484,0.3646089670098858,0.3633599042892456
16:64:8:64:64:32:64|d3r2:z:d3r2:d3r2:d3r2:d3r2,733065,0.007481598854064941,479.542236328125,44.80240249633789,76.61085001627605,1.010681880149595,0.44263664071942554,0.49352405667304994
